h3_index,sst_mean_celsius,sst_std_celsius,sst_quality,latitude,longitude,n_points,date,confidence,anomaly_celsius
850643b3fffffff,0.035263333,0.0009839272,0.4666666666666667,61.229168,-34.284718,15,2024-11-17,high,-0.073316455
850643b7fffffff,0.033425,0.0,1.0,61.083332,-34.374996,6,2024-11-17,high,-0.07515478
850643bbfffffff,0.035571873,0.00034883452,0.5,61.291664,-34.479164,8,2024-11-17,high,-0.07300791
8506444bfffffff,0.035749998,0.00016431547,0.5,62.916668,-31.770828,6,2024-11-17,high,-0.07282978
85064463fffffff,0.033899996,0.0,1.0,62.395832,-31.937494,3,2024-11-17,medium,-0.07467979
850644cbfffffff,0.035825,0.0,1.0,62.895832,-30.770828,3,2024-11-17,medium,-0.072754785
85064503fffffff,0.040041666,0.00031754372,0.6666666666666666,61.381943,-31.201385,3,2024-11-17,medium,-0.068538114
85064513fffffff,0.039809994,0.00012449909,0.6,61.37916,-31.112494,5,2024-11-17,medium,-0.06876979
85064527fffffff,0.03518409,0.0029937695,1.0,60.854164,-31.755676,11,2024-11-17,high,-0.0733957
85064537fffffff,0.037049998,0.0,1.0,60.895832,-31.604162,1,2024-11-17,low,-0.07152979
85064587fffffff,0.038875,0.00082158344,1.0,61.24583,-30.629162,5,2024-11-17,medium,-0.069704786
8506458ffffffff,0.037975,0.0,1.0,61.270832,-30.729162,1,2024-11-17,low,-0.07060479
850645a7fffffff,0.037388887,0.0022678494,1.2222222222222223,60.8588,-30.928236,9,2024-11-17,high,-0.07119089
850645affffffff,0.038925,0.0,1.0,60.895832,-31.229162,3,2024-11-17,medium,-0.069654785
850645b3fffffff,0.040912498,0.00064337486,1.0,61.114582,-30.598953,8,2024-11-17,high,-0.06766729
850645b7fffffff,0.041424997,0.0,1.0,60.895832,-30.583328,2,2024-11-17,medium,-0.06715479
850645bbfffffff,0.04076818,0.00087178807,0.7272727272727273,61.206436,-30.812494,11,2024-11-17,high,-0.06781161
85064683fffffff,0.033233333,0.0016598821,1.0,63.17361,-31.895828,3,2024-11-17,medium,-0.075346455
85064687fffffff,0.036074996,0.0,0.0,62.979164,-31.854162,1,2024-11-17,low,-0.07250479
85064693fffffff,0.035519563,0.0012071275,0.17391304347826086,63.182064,-31.678438,23,2024-11-17,high,-0.07306022
85064697fffffff,0.035070833,0.0011765618,0.5833333333333334,63.024303,-31.670135,12,2024-11-17,high,-0.07350895
8506469bfffffff,0.03522639,0.0004866198,0.2777777777777778,63.270832,-31.902775,18,2024-11-17,high,-0.073353395
85064843fffffff,0.031383332,0.0006447224,1.0,59.645832,-35.79166,6,2024-11-17,high,-0.07719645
85064847fffffff,0.03283,5.1233623e-05,1.0,59.4375,-35.854164,5,2024-11-17,medium,-0.075749785
8506484bfffffff,0.032275,0.0015759121,1.0952380952380953,59.68353,-36.048607,21,2024-11-17,high,-0.076304786
85064857fffffff,0.025774999,0.0,2.0,59.520832,-35.52083,3,2024-11-17,medium,-0.082804784
8506485bfffffff,0.032138634,0.0015150233,0.8181818181818182,59.732956,-35.820072,11,2024-11-17,high,-0.076441154
850648cbfffffff,0.0253,0.0,2.0,59.8125,-35.33333,2,2024-11-17,medium,-0.08327979
850648dbfffffff,0.034071874,0.00047197225,0.25,59.83854,-34.96354,8,2024-11-17,high,-0.07450791
85064a03fffffff,0.029279165,0.0022348727,0.5,59.833332,-37.062496,24,2024-11-17,high,-0.07930062
85064a07fffffff,0.03126354,0.0008320347,1.0416666666666667,59.670135,-37.07291,24,2024-11-17,high,-0.07731624
85064a0bfffffff,0.028416345,0.0026889113,0.9615384615384616,59.91346,-37.323715,26,2024-11-17,high,-0.08016344
85064a0ffffffff,0.03054423,0.0015388842,0.6923076923076923,59.75,-37.33333,26,2024-11-17,high,-0.078035556
85064a13fffffff,0.033483695,0.0016839415,0.5652173913043478,59.913944,-36.808872,23,2024-11-17,high,-0.075096086
85064a17fffffff,0.030464582,0.0023191418,1.25,59.75,-36.812496,24,2024-11-17,high,-0.0781152
85064a1bfffffff,0.033630263,0.0006461736,0.42105263157894735,59.985744,-37.066883,19,2024-11-17,high,-0.07494952
85064a33fffffff,0.023174997,0.0,2.0,59.5625,-37.166664,2,2024-11-17,medium,-0.08540478
85064a3bfffffff,0.025718749,0.0038679251,1.25,59.614582,-37.27083,8,2024-11-17,high,-0.082861036
85064a43fffffff,0.031442307,0.0021245682,1.6153846153846154,60.158653,-37.54647,13,2024-11-17,high,-0.07713748
85064a47fffffff,0.024819642,0.004875579,2.0,59.982143,-37.54166,14,2024-11-17,high,-0.08376014
85064a4bfffffff,0.0323,0.0009526279,1.3333333333333333,60.256943,-37.72916,3,2024-11-17,medium,-0.07627979
85064a53fffffff,0.034781728,0.0006078471,0.34615384615384615,60.21154,-37.301277,26,2024-11-17,high,-0.07379806
85064a57fffffff,0.032361902,0.0017775439,1.2857142857142858,60.064484,-37.326385,21,2024-11-17,high,-0.07621788
85064a5bfffffff,0.032567855,0.0013308867,1.2857142857142858,60.28075,-37.566463,21,2024-11-17,high,-0.076011926
85064a63fffffff,0.026124999,0.0022980964,1.5,59.75,-37.729164,2,2024-11-17,medium,-0.082454786
85064a67fffffff,0.024380555,0.002527405,1.6666666666666667,59.55324,-37.803238,9,2024-11-17,high,-0.08419923
85064a73fffffff,0.02706413,0.0015112421,0.5652173913043478,59.830616,-37.58786,23,2024-11-17,high,-0.081515655
